Chr,Start,End,Conc,Conc_mPSkd,Conc_none,Fold,p-value,FDR,capC_mPS_LOF_st8p_1,capC_mPS_LOF_st8p_2,capC_mPS_LOF_st8p_3,capC_ctrl_st8p_1,capC_ctrl_st8p_2,capC_ctrl_st8p_3
scaffold_5,69866036,69867236,0.77,-0.19,1.34,-1.53,0.227,0.999,1.15,0.48,1,1.73,1.26,4.58
scaffold_2,96756906,96759812,0.85,1.39,-0.02,1.41,0.228,0.999,1.92,0.96,5,0.29,0.63,2.04
scaffold_3,17716355,17717969,-0.3,0.37,-1.57,1.94,0.237,0.999,1.92,0.96,1,0.29,0.21,0.51
scaffold_2,67494920,67496120,0.26,0.85,-0.74,1.59,0.239,0.999,3.45,0.96,1,0.87,0.42,0.51
scaffold_3,80966164,80967364,-0.33,0.33,-1.57,1.91,0.257,0.999,2.3,0.48,1,0.29,0.21,0.51
scaffold_6,141911220,141912823,-0.33,0.33,-1.57,1.91,0.257,0.999,2.3,0.48,1,0.29,0.21,0.51
scaffold_8,85771436,85772636,0.34,0.97,-0.8,1.76,0.257,0.999,0.38,0.48,5,0.29,0.42,1.02
scaffold_5,72094254,72095454,2.13,1.65,2.49,-0.85,0.258,0.999,3.07,3.35,3,6.93,3.37,6.61
scaffold_6,97453029,97454229,6.17,5.93,6.37,-0.44,0.266,0.999,53.65,49.26,80,60.04,55.39,132.8
scaffold_1,62142434,62143634,1.64,0.98,2.09,-1.11,0.27,0.999,3.45,0.48,2,2.6,2.53,7.63
scaffold_5,31477688,31478888,0.71,-0.19,1.25,-1.44,0.271,0.999,1.15,0.48,1,1.73,0.84,4.58
scaffold_6,59748179,59749379,4.31,4.5,4.1,0.39,0.271,0.999,25.68,21.04,21,16.45,13.27,21.88
scaffold_7,21474072,21475272,1.96,1.42,2.35,-0.93,0.277,0.999,4.6,1.43,2,5.2,4,6.11
scaffold_5,4295271,4296471,0.48,-0.42,1.03,-1.45,0.279,0.999,0.77,0.48,1,0.87,1.68,3.56
scaffold_8,90120202,90121402,-0.06,0.5,-0.98,1.49,0.293,0.999,2.3,0.96,1,0.29,0.21,1.02
scaffold_5,71916981,71918181,2.36,1.89,2.71,-0.82,0.296,0.999,5.75,2.39,3,5.48,4,10.18
scaffold_8,83605987,83607187,-0.03,0.54,-0.99,1.53,0.298,0.999,1.92,1.43,1,0.58,0.42,0.51
scaffold_6,97197164,97198364,1.3,1.71,0.74,0.96,0.298,0.999,5.37,1.43,3,2.02,1.47,1.53
scaffold_7,25556150,25558170,-0.24,0.37,-1.3,1.67,0.298,0.999,1.92,0.96,1,0.29,0.42,0.51
scaffold_6,97455479,97456679,5.03,4.82,5.21,-0.4,0.31,0.999,32.96,32.52,19,30.6,33.91,46.81
scaffold_5,67644735,67645935,-0.45,0.18,-1.57,1.75,0.314,0.999,1.92,0.48,1,0.29,0.21,0.51
scaffold_6,129175686,129176886,-0.45,0.18,-1.57,1.75,0.314,0.999,1.92,0.48,1,0.29,0.21,0.51
scaffold_8,95098794,95099994,-0.45,0.18,-1.57,1.75,0.314,0.999,1.92,0.48,1,0.29,0.21,0.51
scaffold_8,81335901,81337101,-0.02,0.54,-0.92,1.46,0.32,0.999,1.92,1.43,1,0.87,0.21,0.51
scaffold_6,51001794,51002994,0.22,-0.69,0.78,-1.46,0.321,0.999,0.38,0.48,1,1.15,0.42,3.56
scaffold_5,72058816,72061529,6.65,6.45,6.83,-0.38,0.326,0.999,94.27,59.31,108,90.35,88.66,161.8
scaffold_1,203123893,203125093,0.27,-0.69,0.84,-1.53,0.327,0.999,0.38,0.48,1,0.58,0.21,4.58
scaffold_5,103488399,103489599,7.64,7.83,7.41,0.42,0.328,0.999,157.5,207.1,319,148.08,118.36,243.2
scaffold_5,94231918,94233118,-0.26,0.33,-1.3,1.63,0.333,0.999,0.38,2.39,1,0.29,0.42,0.51
scaffold_5,3224464,3225959,0.57,1.09,-0.26,1.35,0.334,0.999,1.92,0.48,4,1.15,0.84,0.51
scaffold_5,68905470,68907704,0.14,-0.69,0.66,-1.35,0.339,0.999,0.38,0.48,1,1.15,1.05,2.54
scaffold_2,70796019,70797219,7.66,7.85,7.43,0.42,0.342,0.999,165.17,198.49,329,143.46,116.25,257.45
scaffold_2,66665488,66666688,7.66,7.85,7.44,0.41,0.342,0.999,160.95,208.05,324,146.35,121.31,252.36
scaffold_9,54515213,54516413,1.02,1.47,0.36,1.11,0.345,0.999,1.92,2.39,4,1.44,1.9,0.51
scaffold_5,47582175,47585781,0.27,0.77,-0.49,1.26,0.348,0.999,2.68,1.43,1,0.58,1.05,0.51
scaffold_9,55025975,55027175,2.13,2.41,1.77,0.64,0.35,0.999,5.75,6.22,4,4.33,3.37,2.54
scaffold_9,20853602,20854802,2.82,2.47,3.11,-0.63,0.353,0.999,8.81,3.83,4,9.24,5.9,10.68
scaffold_6,60719923,60721776,1.44,0.96,1.81,-0.85,0.354,0.999,1.92,1.91,2,3.18,2.74,4.58
scaffold_5,12357273,12359904,7.89,8.1,7.65,0.45,0.356,0.999,187.01,188.92,446,161.36,133.52,307.82
scaffold_8,83135345,83136545,3.38,3.1,3.61,-0.5,0.359,0.999,11.11,6.7,8,9.24,10.53,16.79
scaffold_6,52058566,52059766,0.11,-0.69,0.62,-1.3,0.365,0.999,0.38,0.48,1,0.58,1.47,2.54
scaffold_6,97450826,97452026,7.64,7.82,7.44,0.38,0.374,0.999,161.34,204.23,311,146.06,124.04,249.31
scaffold_5,72056720,72057920,6.87,6.66,7.05,-0.39,0.378,0.999,82.01,67.92,153,100.45,83.82,213.69
scaffold_5,71967414,71968614,3.43,3.19,3.63,-0.44,0.379,0.999,8.81,7.65,11,10.39,9.06,17.81
scaffold_1,84770692,84771892,0.13,-0.69,0.65,-1.34,0.38,0.999,0.38,0.48,1,1.44,0.21,3.05
scaffold_1,66531903,66533835,-0.38,0.18,-1.3,1.48,0.385,0.999,1.92,0.48,1,0.29,0.42,0.51
scaffold_6,51561346,51562546,-0.38,0.18,-1.3,1.48,0.385,0.999,1.92,0.48,1,0.29,0.42,0.51
scaffold_6,97521418,97522618,2.85,2.56,3.09,-0.53,0.391,0.999,6.9,3.83,7,6.93,5.9,12.72
scaffold_224,51559,52759,0.7,1.15,0.04,1.11,0.391,0.999,0.77,1.91,4,1.44,0.63,1.02
scaffold_9,20852339,20853539,3.04,2.75,3.29,-0.54,0.394,0.999,8.43,5.74,6,8.66,5.9,14.76
scaffold_5,72100280,72101480,3.57,3.32,3.78,-0.45,0.396,0.999,13.8,6.22,10,12.41,9.9,18.83
scaffold_1,61590910,61592110,1.16,0.6,1.56,-0.97,0.397,0.999,1.15,2.39,1,2.31,1.47,5.09
scaffold_9,54865975,54867175,5.85,5.7,5.99,-0.29,0.398,0.999,51.74,48.79,55,49.94,50.12,90.57
scaffold_2,68637014,68638214,0.68,0.05,1.11,-1.06,0.402,0.999,1.15,0.96,1,1.44,1.47,3.56
scaffold_2,91111421,91112621,0.1,-0.69,0.6,-1.29,0.406,0.999,0.38,0.48,1,0.58,0.42,3.56
scaffold_6,52974643,52978974,8.65,8.83,8.44,0.39,0.407,0.999,338.77,346.76,681,281.15,238.19,525.08
scaffold_1,90559376,90561264,0.28,-0.42,0.75,-1.17,0.41,0.999,0.77,0.48,1,1.15,0.84,3.05
scaffold_3,36151852,36153468,0.28,-0.42,0.75,-1.17,0.41,0.999,0.77,0.48,1,1.15,0.84,3.05
scaffold_9,57176005,57177205,2.82,2.54,3.05,-0.51,0.41,0.999,5.75,5.74,6,8.37,5.27,11.19
scaffold_1,64312482,64313682,0.96,0.37,1.37,-1,0.418,0.999,1.92,0.96,1,0.87,2.32,4.58
scaffold_1,175223680,175226527,0.01,-0.69,0.47,-1.16,0.419,0.999,0.38,0.48,1,0.87,1.26,2.04
scaffold_2,91234211,91235411,1.1,0.54,1.5,-0.96,0.421,0.999,1.92,1.43,1,0.87,2.53,5.09
scaffold_5,8357750,8358950,-0.01,-0.69,0.44,-1.13,0.423,0.999,0.38,0.48,1,0.87,1.68,1.53
scaffold_5,2330122,2331322,6.63,6.47,6.77,-0.3,0.423,0.999,90.44,73.66,102,93.81,78.13,155.69
scaffold_8,87551048,87552248,0.76,1.12,0.29,0.83,0.424,0.999,3.07,1.43,2,0.58,1.05,2.04
scaffold_2,96755198,96756398,0.28,0.81,-0.54,1.35,0.427,0.999,0.77,0.48,4,0.29,1.26,0.51
scaffold_5,102909892,102911092,0.01,-0.69,0.48,-1.17,0.43,0.999,0.38,0.48,1,1.73,0.42,2.04
scaffold_6,62054995,62056195,0.01,-0.69,0.48,-1.17,0.434,0.999,0.38,0.48,1,0.58,1.05,2.54
scaffold_2,72066857,72068057,0.25,-0.42,0.71,-1.12,0.435,0.999,0.77,0.48,1,0.58,1.26,3.05
scaffold_6,52702775,52705209,2.18,2.42,1.9,0.52,0.436,0.999,5.75,4.3,6,3.46,3.16,4.58
scaffold_2,91973641,91974841,0.25,-0.36,0.68,-1.04,0.436,0.999,0.38,0.96,1,1.73,1.05,2.04
scaffold_6,52708557,52709757,1.37,1.68,0.99,0.69,0.436,0.999,2.3,4.3,3,2.02,1.9,2.04
scaffold_6,100091737,100092937,-0.16,0.33,-0.92,1.25,0.439,0.999,0.38,2.39,1,0.87,0.21,0.51
scaffold_6,59744140,59745340,3.92,4.06,3.77,0.29,0.439,0.999,23.38,16.74,10,13.86,14.32,12.72
scaffold_7,21507760,21509235,3.41,3.17,3.61,-0.44,0.442,0.999,9.96,9.09,8,8.37,9.48,18.83
scaffold_6,60346982,60348182,2.34,2.59,2.04,0.55,0.444,0.999,5.75,4.3,8,4.33,4.42,3.56
scaffold_6,62939298,62940498,0.15,0.6,-0.49,1.09,0.445,0.999,1.15,2.39,1,0.58,1.05,0.51
scaffold_8,83502324,83503524,0.39,-0.19,0.8,-1,0.45,0.999,1.15,0.48,1,1.73,1.47,2.04
scaffold_5,31333184,31334384,0,-0.69,0.46,-1.15,0.452,0.999,0.38,0.48,1,1.15,0.42,2.54
scaffold_2,69176966,69178166,0.4,-0.07,0.75,-0.81,0.455,0.999,0.38,0.48,2,1.73,1.26,2.04
scaffold_9,30999238,31001609,-0.31,0.18,-1.07,1.25,0.457,0.999,1.92,0.48,1,0.29,0.63,0.51
scaffold_5,10694050,10695250,7.73,7.88,7.57,0.31,0.464,0.999,173.98,212.84,319,161.94,135.42,271.19
scaffold_2,90374129,90376150,-0.06,-0.69,0.37,-1.06,0.466,0.999,0.38,0.48,1,1.73,0.63,1.53
scaffold_5,103396507,103397707,1.72,1.99,1.39,0.6,0.467,0.999,3.07,2.87,6,2.02,1.26,4.58
scaffold_6,97448403,97450758,8.09,8.24,7.93,0.31,0.473,0.999,224.57,274.54,407,204.66,178.17,348.52
scaffold_8,81738058,81739258,0,-0.69,0.46,-1.15,0.473,0.999,0.38,0.48,1,0.87,0.21,3.05
scaffold_1,202940292,202941492,-0.04,-0.69,0.4,-1.09,0.474,0.999,0.38,0.48,1,0.58,0.84,2.54
scaffold_6,59763022,59764222,5.33,5.19,5.45,-0.26,0.475,0.999,39.09,29.65,41,36.08,33.49,61.56
scaffold_9,20947512,20948712,1.34,0.96,1.65,-0.69,0.479,0.999,1.92,1.91,2,1.44,3.37,4.58
scaffold_235,170939,172139,-0.06,-0.69,0.38,-1.07,0.48,0.999,0.38,0.48,1,1.44,0.42,2.04
scaffold_6,59757732,59758932,3.28,3.45,3.09,0.36,0.481,0.999,10.73,8.13,14,8.37,6.53,10.68
scaffold_6,97440330,97441530,4.36,4.22,4.5,-0.28,0.49,0.999,17.63,19.13,19,17.03,20.64,30.02
scaffold_7,20066616,20067816,-0.1,-0.69,0.32,-1.01,0.491,0.999,0.38,0.48,1,2.6,0.63,0.51
scaffold_5,2328002,2330014,7.98,8.12,7.83,0.29,0.493,0.999,205.02,265.93,364,199.17,165.53,318.51
scaffold_9,49637482,49638682,0.18,-0.36,0.57,-0.93,0.496,0.999,0.38,0.96,1,1.15,1.26,2.04
scaffold_9,2470873,2472073,-0.27,0.18,-0.92,1.1,0.497,0.999,1.92,0.48,1,0.87,0.21,0.51
scaffold_9,12006042,12007242,-0.27,0.18,-0.92,1.1,0.497,0.999,1.92,0.48,1,0.87,0.21,0.51
scaffold_5,72257069,72258269,2.52,2.75,2.25,0.5,0.498,0.999,5.37,2.87,12,3.18,2.95,8.14
scaffold_8,83331446,83332646,1.32,0.99,1.58,-0.59,0.502,0.999,1.53,1.43,3,2.31,2.11,4.58
scaffold_5,102930598,102931798,-0.08,-0.69,0.35,-1.04,0.506,0.999,0.38,0.48,1,0.87,0.42,2.54
scaffold_6,59770708,59772949,8.35,8.49,8.19,0.29,0.508,0.999,271.71,319.97,484,251.42,196.49,430.44
scaffold_3,34543143,34544343,0.13,-0.42,0.53,-0.95,0.509,0.999,0.77,0.48,1,2.89,0.42,1.02
scaffold_6,58899814,58901014,1.5,1.18,1.76,-0.59,0.513,0.999,2.3,0.48,4,2.6,1.47,6.11
scaffold_3,20859485,20860685,0.82,0.42,1.14,-0.72,0.515,0.999,1.53,0.48,2,1.15,1.9,3.56
scaffold_1,126572477,126574603,-0.12,-0.69,0.29,-0.98,0.517,0.999,0.38,0.48,1,0.58,1.05,2.04
scaffold_2,85553453,85554653,-0.12,-0.69,0.29,-0.98,0.517,0.999,0.38,0.48,1,0.58,1.05,2.04
scaffold_1,95684985,95686185,1.02,0.68,1.3,-0.61,0.525,0.999,0.38,1.43,3,3.18,0.63,3.56
scaffold_177,115446,116646,-0.25,0.18,-0.87,1.05,0.527,0.999,1.92,0.48,1,0.29,0.84,0.51
scaffold_3,21942731,21943931,-0.25,0.18,-0.87,1.05,0.527,0.999,1.92,0.48,1,0.29,0.84,0.51
scaffold_4,80331597,80332797,-0.25,0.18,-0.87,1.05,0.527,0.999,1.92,0.48,1,0.29,0.84,0.51
scaffold_1,61315868,61317068,0.86,0.4,1.2,-0.8,0.528,0.999,1.53,1.43,1,1.15,1.68,4.07
scaffold_6,57682401,57683601,1.07,1.37,0.7,0.66,0.529,0.999,2.3,1.43,4,0.87,1.47,2.54
scaffold_5,69115155,69117239,0.68,0.27,1,-0.72,0.529,0.999,1.15,0.48,2,1.15,1.26,3.56
scaffold_7,944,2144,0.89,1.22,0.48,0.73,0.529,0.999,1.53,1.43,4,1.73,0.42,2.04
scaffold_1,89459830,89461030,0.85,1.14,0.5,0.64,0.529,0.999,2.68,1.91,2,1.44,1.26,1.53
scaffold_1,93580510,93581710,0.05,0.44,-0.49,0.93,0.531,0.999,1.15,1.91,1,0.58,1.05,0.51
scaffold_6,59764912,59766112,5.86,5.74,5.97,-0.23,0.532,0.999,53.27,41.61,65,47.92,45.07,94.64
scaffold_3,84539071,84542333,0.5,0.01,0.87,-0.87,0.534,0.999,1.53,0.48,1,2.31,0.63,2.54
scaffold_9,55439368,55440568,0.31,0.66,-0.14,0.8,0.536,0.999,2.3,1.43,1,1.15,1.05,0.51
scaffold_3,23555697,23556897,-0.18,-0.69,0.2,-0.88,0.536,0.999,0.38,0.48,1,1.15,1.26,1.02
scaffold_3,20611330,20612530,0.36,0.7,-0.1,0.8,0.537,0.999,1.92,0.96,2,1.15,0.63,1.02
scaffold_1,96490432,96491632,0.68,0.18,1.05,-0.87,0.537,0.999,1.92,0.48,1,0.87,1.26,4.07
scaffold_5,2271160,2272360,2.63,2.82,2.43,0.39,0.539,0.999,6.9,6.22,8,6.06,5.48,4.58
scaffold_1,42693258,42695100,-0.14,-0.69,0.26,-0.95,0.539,0.999,0.38,0.48,1,0.29,1.26,2.04
scaffold_5,10481382,10482582,1.2,1.45,0.9,0.54,0.548,0.999,2.3,2.87,3,0.87,1.68,3.05
scaffold_7,53252660,53254556,0.06,-0.42,0.42,-0.84,0.55,0.999,0.77,0.48,1,1.44,1.05,1.53
scaffold_2,73227866,73229066,0.32,-0.07,0.62,-0.69,0.552,0.999,0.38,0.48,2,1.44,0.63,2.54
scaffold_3,76335861,76337818,0.12,-0.42,0.51,-0.92,0.553,0.999,0.77,0.48,1,0.58,0.63,3.05
scaffold_3,22510626,22512605,0.63,0.18,0.97,-0.8,0.557,0.999,1.92,0.48,1,1.15,1.68,3.05
scaffold_1,61711051,61712251,1.88,1.57,2.14,-0.57,0.558,0.999,4.98,1.91,2,5.48,2.11,5.6
scaffold_2,65226142,65227342,-0.19,-0.69,0.17,-0.86,0.558,0.999,0.38,0.48,1,1.73,0.63,1.02
scaffold_6,55722863,55724063,0.51,0.09,0.83,-0.73,0.562,0.999,0.77,1.43,1,2.02,1.26,2.04
scaffold_6,13841245,13842445,-0.2,-0.69,0.17,-0.86,0.565,0.999,0.38,0.48,1,0.58,1.26,1.53
scaffold_1,64405900,64407100,-0.15,-0.69,0.24,-0.93,0.567,0.999,0.38,0.48,1,0.58,0.42,2.54
scaffold_1,64041483,64042683,3.14,3.26,3.01,0.25,0.568,0.999,10.73,10.04,8,7.79,6.74,9.67
scaffold_5,10973722,10974922,1.43,1.16,1.65,-0.48,0.569,0.999,0.77,0.96,5,1.73,1.05,6.61
scaffold_5,10372303,10373503,0.6,0.89,0.23,0.65,0.571,0.999,1.15,2.39,2,1.15,0.84,1.53
scaffold_7,72711554,72712754,-0.19,-0.69,0.18,-0.87,0.571,0.999,0.38,0.48,1,1.44,0.42,1.53
scaffold_9,57258457,57259657,4.38,4.26,4.49,-0.23,0.575,0.999,19.54,15.78,22,20.49,15.37,31.55
scaffold_3,12429791,12430991,0.09,0.5,-0.47,0.97,0.581,0.999,0.77,0.48,3,1.44,0.21,0.51
scaffold_3,76626519,76627719,-0.24,-0.69,0.1,-0.79,0.584,0.999,0.38,0.48,1,1.15,1.05,1.02
scaffold_2,68862111,68863311,-0.2,-0.69,0.17,-0.86,0.585,0.999,0.38,0.48,1,0.29,1.05,2.04
scaffold_1,159302906,159306584,-0.19,0.18,-0.68,0.86,0.586,0.999,1.92,0.48,1,1.15,0.21,0.51
scaffold_6,57928706,57932133,1.8,1.62,1.95,-0.33,0.587,0.999,2.3,1.91,5,3.75,3.79,4.07
scaffold_1,85960568,85961768,0.11,-0.36,0.46,-0.82,0.588,0.999,0.38,0.96,1,1.15,0.42,2.54
scaffold_5,2320458,2321658,5.56,5.65,5.46,0.19,0.589,0.999,45.22,42.09,63,37.24,33.06,61.56
scaffold_10,31854479,31855679,-0.15,-0.69,0.24,-0.93,0.592,0.999,0.38,0.48,1,0.29,0.21,3.05
scaffold_7,89860890,89862090,-0.15,-0.69,0.24,-0.93,0.592,0.999,0.38,0.48,1,0.29,0.21,3.05
scaffold_2,69133753,69134953,0.48,0.01,0.84,-0.83,0.594,0.999,1.53,0.48,1,0.87,0.42,4.07
scaffold_1,91290141,91291341,0.07,-0.36,0.4,-0.76,0.597,0.999,0.38,0.96,1,0.87,1.05,2.04
scaffold_6,81730721,81731921,-0.26,-0.69,0.07,-0.76,0.601,0.999,0.38,0.48,1,0.87,1.26,1.02
scaffold_1,64972559,64973759,0.82,0.49,1.08,-0.6,0.603,0.999,0.77,1.43,2,1.44,0.84,4.07
scaffold_8,83091271,83092471,5.89,5.8,5.97,-0.16,0.603,0.999,52.88,52.61,62,58.6,51.18,77.85
scaffold_9,19443083,19444283,0.2,0.5,-0.17,0.68,0.606,0.999,0.38,2.87,1,0.29,0.84,1.53
scaffold_1,63644829,63646029,0.9,0.61,1.14,-0.53,0.606,0.999,1.15,1.43,2,3.75,0.84,2.04
scaffold_9,20898148,20899348,1.95,1.77,2.1,-0.33,0.607,0.999,1.92,3.35,5,6.06,2.74,4.07
scaffold_1,63218242,63219442,0.45,0.81,-0.03,0.84,0.611,0.999,0.77,0.48,4,0.87,1.05,1.02
scaffold_8,83083860,83085778,6.57,6.47,6.65,-0.18,0.614,0.999,91.59,86.09,89,88.33,78.13,135.85
scaffold_9,17936742,17937942,0.27,-0.07,0.55,-0.62,0.616,0.999,0.38,0.48,2,0.29,1.05,3.05
scaffold_5,10369199,10370399,0.02,-0.36,0.31,-0.67,0.618,0.999,0.38,0.96,1,1.44,1.26,1.02
scaffold_1,114882980,114885193,0.02,0.33,-0.39,0.72,0.62,0.999,2.3,0.48,1,1.15,0.63,0.51
scaffold_1,63878675,63879875,1.15,0.82,1.41,-0.59,0.624,0.999,1.92,2.39,1,2.02,1.9,4.07
scaffold_6,50254557,50258180,1.2,0.85,1.49,-0.64,0.626,0.999,3.45,0.96,1,1.44,1.9,5.09
scaffold_6,105633147,105634347,1.89,1.68,2.07,-0.39,0.629,0.999,2.3,4.3,3,4.33,3.16,5.09
scaffold_9,8991499,8992699,-0.3,-0.69,0,-0.69,0.629,0.999,0.38,0.48,1,1.44,1.05,0.51
scaffold_5,11869476,11870676,0.65,0.97,0.24,0.73,0.632,0.999,0.38,0.48,5,0.58,0.42,2.54
scaffold_5,26744820,26746020,-0.22,0.14,-0.7,0.83,0.633,0.999,0.38,1.91,1,0.29,1.05,0.51
scaffold_1,64926500,64927700,-0.04,-0.42,0.26,-0.68,0.633,0.999,0.77,0.48,1,1.73,0.84,1.02
scaffold_3,59049542,59051747,-0.02,-0.42,0.29,-0.71,0.636,0.999,0.77,0.48,1,1.73,0.42,1.53
scaffold_1,61681241,61683539,3.13,2.99,3.26,-0.28,0.636,0.999,7.66,9.09,7,7.51,9.06,12.21
scaffold_2,70534352,70535552,0.77,1.02,0.48,0.54,0.637,0.999,1.15,1.91,3,0.58,1.05,2.54
scaffold_5,2319010,2320210,5.38,5.45,5.3,0.15,0.637,0.999,52.5,35.39,43,36.66,27.59,53.93
scaffold_4,9094873,9096073,-0.11,0.22,-0.54,0.76,0.638,0.999,1.53,0.96,1,0.29,1.26,0.51
scaffold_100,176165,177365,-0.28,-0.69,0.04,-0.73,0.638,0.999,0.38,0.48,1,0.29,1.26,1.53
scaffold_2,91224753,91225953,0.82,1.08,0.49,0.59,0.638,0.999,1.92,1.43,3,1.73,1.47,1.02
scaffold_3,81978207,81979407,0.12,0.45,-0.31,0.76,0.639,0.999,1.15,0.96,2,0.87,1.05,0.51
scaffold_5,15244093,15245293,0.23,-0.19,0.55,-0.74,0.639,0.999,1.15,0.48,1,0.29,1.05,3.05
scaffold_2,65950013,65951213,0.62,0.82,0.37,0.45,0.64,0.999,1.92,2.39,1,0.29,1.05,2.54
scaffold_7,21482155,21483355,3.24,3.12,3.36,-0.24,0.641,0.999,8.43,8.61,9,10.39,8.21,12.21
scaffold_2,66619137,66620337,2.71,2.57,2.83,-0.25,0.641,0.999,6.51,3.35,8,5.48,7.16,8.65
scaffold_2,41870470,41871670,-0.33,-0.69,-0.04,-0.65,0.645,0.999,0.38,0.48,1,1.15,1.26,0.51
scaffold_1,64829909,64831109,0,-0.36,0.29,-0.64,0.646,0.999,0.38,0.96,1,0.87,1.26,1.53
scaffold_9,55440868,55442068,1.78,1.97,1.55,0.42,0.648,0.999,1.92,2.87,7,1.73,1.47,5.6
scaffold_3,21200046,21201246,2.03,1.91,2.14,-0.22,0.648,0.999,1.92,2.39,7,3.46,4.63,5.09
scaffold_5,9385947,9387147,-0.11,0.18,-0.48,0.66,0.649,0.999,1.92,0.48,1,0.29,0.84,1.02
scaffold_6,49719474,49721386,0.76,0.99,0.48,0.52,0.65,0.999,1.53,1.43,3,0.58,1.05,2.54
scaffold_8,82708533,82709733,0.22,-0.19,0.53,-0.72,0.654,0.999,1.15,0.48,1,0.87,0.42,3.05
scaffold_6,56723159,56724359,0.17,-0.19,0.45,-0.64,0.654,0.999,1.15,0.48,1,1.73,0.84,1.53
scaffold_5,10268866,10270066,-0.32,-0.69,-0.02,-0.66,0.656,0.999,0.38,0.48,1,2.02,0.42,0.51
scaffold_3,21159238,21160438,1.38,1.14,1.58,-0.45,0.661,0.999,2.68,1.91,2,2.6,2.32,4.07
scaffold_3,44774129,44776365,4.57,4.48,4.64,-0.16,0.663,0.999,26.83,17.22,23,24.54,24.01,26.46
scaffold_1,62565511,62566711,0.62,0.86,0.34,0.52,0.663,0.999,1.53,1.91,2,0.58,1.68,1.53
scaffold_7,6303466,6304666,-0.35,-0.69,-0.07,-0.61,0.663,0.999,0.38,0.48,1,0.87,1.47,0.51
scaffold_9,44461762,44462962,-0.35,-0.69,-0.07,-0.61,0.663,0.999,0.38,0.48,1,0.87,1.47,0.51
scaffold_6,69065095,69066295,-0.28,0.05,-0.7,0.75,0.664,0.999,1.15,0.96,1,0.29,1.05,0.51
scaffold_5,2308677,2309877,3.85,3.74,3.95,-0.21,0.664,0.999,15.71,12.44,12,13.86,15.16,17.3
scaffold_9,17959896,17961096,0.32,0.63,-0.06,0.68,0.666,0.999,1.15,0.48,3,1.44,0.42,1.02
scaffold_1,60833372,60834572,-0.34,-0.69,-0.06,-0.63,0.668,0.999,0.38,0.48,1,1.73,0.63,0.51
scaffold_2,135594660,135595860,0.18,-0.07,0.39,-0.45,0.668,0.999,0.38,0.48,2,0.29,2.11,1.53
scaffold_6,99052068,99054453,-0.11,0.18,-0.47,0.65,0.672,0.999,1.92,0.48,1,1.44,0.21,0.51
scaffold_3,24897583,24898783,-0.12,0.18,-0.49,0.67,0.673,0.999,1.92,0.48,1,0.58,1.05,0.51
scaffold_1,63917150,63918350,1.61,1.36,1.82,-0.46,0.673,0.999,3.83,2.87,1,3.18,3.37,4.07
